랭크,카테고리,채널,구독자수,조회수,비디오
1,음악/댄스/가수,BLACKPINK,87300000,30533500000,507
2,음악/댄스/가수,BANGTANTV,74500000,20143000000,2188
3,음악/댄스/가수,HYBE LABELS,70300000,27323160000,1158
4,음악/댄스/가수,SMTOWN,31600000,26794810000,4110
5,음악/댄스/가수,JYP Entertainment,26800000,19275070000,1668
6,키즈/어린이,Boram Tube Vlog [보람튜브 브이로그],26500000,11052880000,223
7,음악/댄스/가수,1MILLION Dance Studio,26000000,7770790000,5297
8,음악/댄스/가수,1theK (원더케이),24500000,23634050000,18108
9,음악/댄스/가수,Mnet K-POP,20500000,14645400000,32149
10,TV/방송,KBS WORLD TV,18800000,14840730000,62875
11,음악/댄스/가수,officialpsy,18000000,10522470000,125
13,음식/요리/레시피,Jane ASMR 제인,17600000,7212510000,2079
12,음악/댄스/가수,JFlaMusic,17600000,3780810000,317
14,음악/댄스/가수,TWICE,15700000,4806750000,1086
15,음악/댄스/가수,BIGBANG,15000000,7726250000,776
16,음식/요리/레시피,Hongyu ASMR 홍유,14900000,4947380000,624
17,키즈/어린이,Boram Tube ToysReview [보람튜브 토이리뷰],14500000,5001020000,605
18,키즈/어린이,서은일상이야기,13900000,2572780000,696
19,키즈/어린이,BIBO와 장난감,12900000,3160580000,181
20,음악/댄스/가수,Stray Kids,12400000,2953450000,761
22,음식/요리/레시피,[햄지]Hamzy,11200000,3770110000,586
21,키즈/어린이,핑크퐁 (인기 동요・동화),11200000,7031990000,3049
24,키즈/어린이,토이몽 TV - ToyMong Tv,10900000,4458440000,1462
23,키즈/어린이,DuDuPopTOY,10900000,5045280000,2501
26,음악/댄스/가수,TOMORROW X TOGETHER OFFICIAL,10600000,1317930000,1468
25,음악/댄스/가수,Stone Music Entertainment,10600000,9386300000,10028
27,TV/방송,MBCkpop,10300000,8850200000,45660
28,미분류,GH'S,10100000,6193280000,383
29,키즈/어린이,Larva TUBA,9970000,4490570000,2106
30,음식/요리/레시피,쏘영 Ssoyoung,9720000,1469560000,783
31,키즈/어린이,서은이야기[SeoeunStory],9400000,2617430000,1218
32,음악/댄스/가수,EXO,9240000,859670000,410
33,음악/댄스/가수,SEVENTEEN,9200000,3853450000,1454
34,키즈/어린이,Boram Tube [宝蓝和朋友们],9180000,2473720000,484
35,음악/댄스/가수,Mnet TV,9050000,11530740000,21998
36,TV/방송,M2,8960000,7776310000,18712
37,뉴스/정치/사회,MBCentertainment,8950000,16816140000,97025
38,음식/요리/레시피,문복희 Eat with Boki,8860000,2432920000,699
39,음악/댄스/가수,iKON,8770000,2489750000,604
40,해외,Serie A,8760000,3362500000,25316
41,음악/댄스/가수,이지금 [IU Official],8490000,2040400000,168
42,음악/댄스/가수,ITZY,8170000,2058620000,1043
